NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
event-platform-ingestion-api-1     0.00%     92.86MiB / 256MiB     16.7GB / 135MB
event-platform-connect-1           11.11%    1.984GiB / 15.49GiB   358MB / 17.2GB
event-platform-kafka-1             149.62%   678.2MiB / 15.49GiB   356MB / 346MB
event-platform-grafana-1           0.63%     130MiB / 15.49GiB     23.3MB / 8.06MB
event-platform-schema-registry-1   0.27%     117.3MiB / 15.49GiB   2.56MB / 2.33MB
event-platform-otel-collector-1    0.03%     28.92MiB / 15.49GiB   376MB / 132MB
event-platform-tempo-1             0.23%     214.1MiB / 15.49GiB   129MB / 766kB
event-platform-postgres-1          0.13%     132.8MiB / 15.49GiB   17.1GB / 70.2MB
event-platform-prometheus-1        0.61%     53.21MiB / 15.49GiB   302kB / 2.53MB
event-platform-redis-1             0.70%     8.219MiB / 15.49GiB   328MB / 148MB
