NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
event-platform-ingestion-api-1     0.15%     44.57MiB / 256MiB     23GB / 183MB
event-platform-connect-1           1.68%     2.065GiB / 15.49GiB   395MB / 23.4GB
event-platform-kafka-1             163.84%   608.2MiB / 15.49GiB   389MB / 379MB
event-platform-grafana-1           0.64%     138.3MiB / 15.49GiB   23.3MB / 8.07MB
event-platform-schema-registry-1   0.25%     167.6MiB / 15.49GiB   2.71MB / 2.47MB
event-platform-otel-collector-1    0.02%     36.5MiB / 15.49GiB    378MB / 132MB
event-platform-tempo-1             0.20%     176.6MiB / 15.49GiB   130MB / 784kB
event-platform-postgres-1          0.04%     190.8MiB / 15.49GiB   23.3GB / 75.6MB
event-platform-prometheus-1        0.52%     58.37MiB / 15.49GiB   310kB / 2.54MB
event-platform-redis-1             0.69%     6.504MiB / 15.49GiB   330MB / 149MB
