NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
event-platform-ingestion-api-1     0.00%     73.54MiB / 256MiB     28.2GB / 223MB
event-platform-connect-1           2.16%     2.065GiB / 15.49GiB   426MB / 28.5GB
event-platform-kafka-1             2.88%     549.9MiB / 15.49GiB   416MB / 406MB
event-platform-grafana-1           0.66%     149.7MiB / 15.49GiB   23.3MB / 8.08MB
event-platform-schema-registry-1   0.27%     176.1MiB / 15.49GiB   2.81MB / 2.57MB
event-platform-otel-collector-1    0.05%     34.04MiB / 15.49GiB   380MB / 133MB
event-platform-tempo-1             0.38%     223.6MiB / 15.49GiB   130MB / 798kB
event-platform-postgres-1          11.49%    191MiB / 15.49GiB     28.5GB / 80.1MB
event-platform-prometheus-1        0.51%     60.92MiB / 15.49GiB   316kB / 2.55MB
event-platform-redis-1             0.75%     7.129MiB / 15.49GiB   332MB / 149MB
