NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
wizardly_montalcini                101.34%   238.6MiB / 15.49GiB   7.51MB / 2.85GB
event-platform-ingestion-api-1     75.70%    136.3MiB / 256MiB     2.97GB / 26.6MB
event-platform-connect-1           7.51%     1.609GiB / 15.49GiB   275MB / 3.41GB
event-platform-kafka-1             5.78%     737.3MiB / 15.49GiB   283MB / 272MB
event-platform-grafana-1           0.74%     156.5MiB / 15.49GiB   23.3MB / 8.02MB
event-platform-schema-registry-1   0.30%     149.5MiB / 15.49GiB   2.18MB / 1.95MB
event-platform-otel-collector-1    0.27%     25.2MiB / 15.49GiB    371MB / 130MB
event-platform-tempo-1             0.52%     186.5MiB / 15.49GiB   127MB / 716kB
event-platform-postgres-1          19.94%    180.6MiB / 15.49GiB   3.36GB / 58MB
event-platform-prometheus-1        0.51%     51.84MiB / 15.49GiB   280kB / 2.49MB
event-platform-redis-1             1.39%     5.262MiB / 15.49GiB   322MB / 146MB
