NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
event-platform-grafana-1           1.29%     386.9MiB / 15.49GiB   21.7MB / 4.46MB
event-platform-ingestion-api-1     0.00%     29.58MiB / 1GiB       36GB / 181MB
event-platform-connect-1           3.92%     2.328GiB / 15.49GiB   147MB / 20.6GB
event-platform-traefik-1           0.04%     60.31MiB / 15.49GiB   36.1GB / 36.1GB
event-platform-schema-registry-1   0.40%     165.4MiB / 15.49GiB   2.52MB / 2.37MB
event-platform-otel-collector-1    0.06%     40.8MiB / 15.49GiB    16.3MB / 10.4MB
event-platform-redis-1             1.15%     8.328MiB / 15.49GiB   8.01MB / 2.85MB
event-platform-postgres-1          0.02%     175.6MiB / 15.49GiB   20.5GB / 14.4MB
event-platform-tempo-1             0.34%     150.9MiB / 15.49GiB   11MB / 367kB
event-platform-kafka-1             3.70%     860.4MiB / 15.49GiB   141MB / 138MB
event-platform-prometheus-1        0.69%     54.14MiB / 15.49GiB   2.36MB / 277kB
