NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
event-platform-ingestion-api-1     0.03%     7.559MiB / 1GiB       178kB / 89.3kB
event-platform-connect-1           1.87%     212.7MiB / 15.49GiB   22.6MB / 24.7MB
event-platform-traefik-1           0.05%     40.39MiB / 15.49GiB   12.2MB / 12.9MB
event-platform-schema-registry-1   0.66%     117.5MiB / 15.49GiB   1.56MB / 1.46MB
event-platform-otel-collector-1    0.04%     30.39MiB / 15.49GiB   233kB / 185kB
event-platform-grafana-1           0.96%     211.1MiB / 15.49GiB   22.6MB / 11.1MB
event-platform-redis-1             1.02%     3.516MiB / 15.49GiB   59.1kB / 4.03kB
event-platform-postgres-1          0.00%     16.21MiB / 15.49GiB   65.8kB / 7.89kB
event-platform-tempo-1             0.31%     52.09MiB / 15.49GiB   648kB / 159kB
event-platform-kafka-1             4.78%     658.2MiB / 15.49GiB   26.2MB / 24.1MB
event-platform-prometheus-1        0.72%     50.19MiB / 15.49GiB   1.34MB / 171kB
