=== 2026-08-10T14:25:03 (poll #1) ===

GROUP                          TOPIC           PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                                                      HOST            CLIENT-ID
connect-postgres-enriched-sink events.enriched 0          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 1          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 2          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 3          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 4          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 5          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 6          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 7          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 8          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 9          -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 10         -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 11         -               0               -               connector-consumer-postgres-enriched-sink-0-7258a1bf-6b47-4a9b-bdb0-6433da299afe /172.18.0.13    connector-consumer-postgres-enriched-sink-0

GROUP                     TOPIC           PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                                                  HOST            CLIENT-ID
connect-postgres-raw-sink events.raw      6          -               0               -               connector-consumer-postgres-raw-sink-4-32c9d23e-36d1-4d83-ad03-4d6954b516c1  /172.18.0.13    connector-consumer-postgres-raw-sink-4
connect-postgres-raw-sink events.raw      3          -               0               -               connector-consumer-postgres-raw-sink-11-d0deecfb-ebbc-4980-8baa-4b8ea80758d3 /172.18.0.13    connector-consumer-postgres-raw-sink-11
connect-postgres-raw-sink events.raw      2          -               0               -               connector-consumer-postgres-raw-sink-10-ad6c90b7-4a1d-4a28-98af-6e75d9076a0d /172.18.0.13    connector-consumer-postgres-raw-sink-10
connect-postgres-raw-sink events.raw      7          -               0               -               connector-consumer-postgres-raw-sink-5-a551dab2-8f0d-48ab-8c86-8fe740127131  /172.18.0.13    connector-consumer-postgres-raw-sink-5
connect-postgres-raw-sink events.raw      9          -               0               -               connector-consumer-postgres-raw-sink-7-51fc4c55-3b4a-45b7-8f4f-296a212b0757  /172.18.0.13    connector-consumer-postgres-raw-sink-7
connect-postgres-raw-sink events.raw      8          -               0               -               connector-consumer-postgres-raw-sink-6-672314a4-8af4-4508-810a-64a29862eef4  /172.18.0.13    connector-consumer-postgres-raw-sink-6
connect-postgres-raw-sink events.raw      11         -               0               -               connector-consumer-postgres-raw-sink-9-e89ecfbd-b79e-42dc-a73e-218c107d149f  /172.18.0.13    connector-consumer-postgres-raw-sink-9
connect-postgres-raw-sink events.raw      0          -               0               -               connector-consumer-postgres-raw-sink-0-e8830979-1539-47ac-a4c7-16973cc00411  /172.18.0.13    connector-consumer-postgres-raw-sink-0
connect-postgres-raw-sink events.raw      1          -               0               -               connector-consumer-postgres-raw-sink-1-b6c7fa76-752d-4463-aa33-6197cca6f511  /172.18.0.13    connector-consumer-postgres-raw-sink-1
connect-postgres-raw-sink events.raw      5          -               0               -               connector-consumer-postgres-raw-sink-3-87675a40-97d1-4611-b3f4-79187ea7d034  /172.18.0.13    connector-consumer-postgres-raw-sink-3
connect-postgres-raw-sink events.raw      4          -               0               -               connector-consumer-postgres-raw-sink-2-faa241e9-7f48-448d-b216-29cb4c71c431  /172.18.0.13    connector-consumer-postgres-raw-sink-2
connect-postgres-raw-sink events.raw      10         1               1               0               connector-consumer-postgres-raw-sink-8-157da758-de38-41f2-8400-5fb1bf47ed0e  /172.18.0.13    connector-consumer-postgres-raw-sink-8
