NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
event-platform-ingestion-api-1     0.00%     97.04MiB / 256MiB     310MB / 1.21MB
event-platform-connect-1           0.56%     126.3MiB / 15.49GiB   2.07MB / 1.82MB
event-platform-schema-registry-1   0.36%     159.5MiB / 15.49GiB   779kB / 744kB
event-platform-grafana-1           0.89%     198.2MiB / 15.49GiB   21.6MB / 75.4kB
event-platform-otel-collector-1    0.07%     34.89MiB / 15.49GiB   454kB / 186kB
event-platform-tempo-1             0.44%     107.5MiB / 15.49GiB   187kB / 10.6kB
event-platform-redis-1             1.06%     3.039MiB / 15.49GiB   531kB / 206kB
event-platform-prometheus-1        0.96%     47.54MiB / 15.49GiB   41.5kB / 46.3kB
event-platform-postgres-1          0.00%     23.35MiB / 15.49GiB   26.2kB / 9.67kB
event-platform-kafka-1             2.22%     341.9MiB / 15.49GiB   2.62MB / 2.86MB
