NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
event-platform-ingestion-api-1     0.08%     39.68MiB / 256MiB     11.6GB / 94.4MB
event-platform-connect-1           2.35%     1.623GiB / 15.49GiB   327MB / 12GB
event-platform-kafka-1             5.69%     419.7MiB / 15.49GiB   329MB / 318MB
event-platform-grafana-1           1.23%     153.1MiB / 15.49GiB   23.3MB / 8.05MB
event-platform-schema-registry-1   0.45%     76.93MiB / 15.49GiB   2.45MB / 2.22MB
event-platform-otel-collector-1    0.05%     27.01MiB / 15.49GiB   374MB / 131MB
event-platform-tempo-1             0.43%     266.7MiB / 15.49GiB   128MB / 749kB
event-platform-postgres-1          0.02%     130.9MiB / 15.49GiB   12GB / 65.8MB
event-platform-prometheus-1        2.21%     50.39MiB / 15.49GiB   295kB / 2.52MB
event-platform-redis-1             1.35%     7.449MiB / 15.49GiB   326MB / 147MB
