NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
event-platform-connect-1           4.77%     1.235GiB / 15.49GiB   48kB / 23.3kB
event-platform-ingestion-api-1     0.12%     13.46MiB / 256MiB     2.07MB / 14.1kB
event-platform-schema-registry-1   1.51%     276.9MiB / 15.49GiB   56.3kB / 36.9kB
event-platform-grafana-1           1.01%     295.9MiB / 15.49GiB   21.5MB / 64.8kB
event-platform-otel-collector-1    0.93%     76.9MiB / 15.49GiB    8.94kB / 1.9kB
event-platform-tempo-1             1.47%     60.63MiB / 15.49GiB   11.8kB / 489B
event-platform-redis-1             10.52%    10.7MiB / 15.49GiB    12.5kB / 738B
event-platform-prometheus-1        1.60%     84.04MiB / 15.49GiB   12.7kB / 3.34kB
event-platform-postgres-1          0.05%     49.4MiB / 15.49GiB    13.1kB / 2.44kB
event-platform-kafka-1             6.69%     389.9MiB / 15.49GiB   71.9kB / 97.1kB
