
GROUP                          TOPIC           PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                                                      HOST            CLIENT-ID
connect-postgres-enriched-sink events.enriched 0          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 1          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 2          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 3          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 4          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 5          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 6          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 7          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 8          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 9          -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 10         -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0
connect-postgres-enriched-sink events.enriched 11         -               0               -               connector-consumer-postgres-enriched-sink-0-278b102f-24f1-4d9c-87d0-e5b240b56808 /172.18.0.10    connector-consumer-postgres-enriched-sink-0

GROUP                     TOPIC           PARTITION  CURRENT-OFFSET  LOG-END-OFFSET  LAG             CONSUMER-ID                                                                  HOST            CLIENT-ID
connect-postgres-raw-sink events.raw      6          83935           83935           0               connector-consumer-postgres-raw-sink-4-13c8e2b2-3132-47d3-83f3-d546388e8670  /172.18.0.10    connector-consumer-postgres-raw-sink-4
connect-postgres-raw-sink events.raw      11         83939           83939           0               connector-consumer-postgres-raw-sink-9-d88eda34-3417-4db3-bc94-2d9d52432c54  /172.18.0.10    connector-consumer-postgres-raw-sink-9
connect-postgres-raw-sink events.raw      9          83278           83278           0               connector-consumer-postgres-raw-sink-7-9b3af56b-669a-4843-9175-d1f9aee8b88f  /172.18.0.10    connector-consumer-postgres-raw-sink-7
connect-postgres-raw-sink events.raw      7          84050           84050           0               connector-consumer-postgres-raw-sink-5-19976b17-c1e5-4f56-ba2c-f6ab2cb732ae  /172.18.0.10    connector-consumer-postgres-raw-sink-5
connect-postgres-raw-sink events.raw      1          83866           83866           0               connector-consumer-postgres-raw-sink-1-8b064dd0-b618-4e59-ac24-1cf163c3e098  /172.18.0.10    connector-consumer-postgres-raw-sink-1
connect-postgres-raw-sink events.raw      3          83933           83933           0               connector-consumer-postgres-raw-sink-11-8f3a39e7-77e6-4ded-9604-0ece99113c27 /172.18.0.10    connector-consumer-postgres-raw-sink-11
connect-postgres-raw-sink events.raw      2          83487           83487           0               connector-consumer-postgres-raw-sink-10-da3f39c1-b297-479d-9546-beb37e3586e7 /172.18.0.10    connector-consumer-postgres-raw-sink-10
connect-postgres-raw-sink events.raw      8          83571           83571           0               connector-consumer-postgres-raw-sink-6-7b0b00c3-df8b-4cbf-85dd-0ac7461598e1  /172.18.0.10    connector-consumer-postgres-raw-sink-6
connect-postgres-raw-sink events.raw      0          83773           83773           0               connector-consumer-postgres-raw-sink-0-12013c75-7e28-4970-b9cc-86dc0fd795c2  /172.18.0.10    connector-consumer-postgres-raw-sink-0
connect-postgres-raw-sink events.raw      4          83834           83834           0               connector-consumer-postgres-raw-sink-2-252e57ff-940c-48e9-afa2-433471216eb4  /172.18.0.10    connector-consumer-postgres-raw-sink-2
connect-postgres-raw-sink events.raw      10         83944           83944           0               connector-consumer-postgres-raw-sink-8-703aaba5-8e2b-4bf1-b12c-9aaffc2fece3  /172.18.0.10    connector-consumer-postgres-raw-sink-8
connect-postgres-raw-sink events.raw      5          84327           84327           0               connector-consumer-postgres-raw-sink-3-d8dfd6f7-09e1-41ae-bde1-801d36582257  /172.18.0.10    connector-consumer-postgres-raw-sink-3
