NAME                               CPU %     MEM USAGE / LIMIT     NET I/O
event-platform-ingestion-api-1     0.05%     9.496MiB / 1GiB       179kB / 89.7kB
event-platform-connect-1           1.45%     212.5MiB / 15.49GiB   22.8MB / 24.9MB
event-platform-traefik-1           0.24%     41.41MiB / 15.49GiB   12.2MB / 12.9MB
event-platform-schema-registry-1   0.35%     116.5MiB / 15.49GiB   1.57MB / 1.47MB
event-platform-otel-collector-1    0.18%     30.26MiB / 15.49GiB   238kB / 189kB
event-platform-grafana-1           1.90%     222.8MiB / 15.49GiB   22.6MB / 11.1MB
event-platform-redis-1             1.22%     3.305MiB / 15.49GiB   59.1kB / 4.03kB
event-platform-postgres-1          0.00%     16.87MiB / 15.49GiB   66.2kB / 8.2kB
event-platform-tempo-1             0.41%     59.44MiB / 15.49GiB   651kB / 159kB
event-platform-kafka-1             5.37%     666.5MiB / 15.49GiB   26.4MB / 24.3MB
event-platform-prometheus-1        0.76%     52.03MiB / 15.49GiB   1.35MB / 172kB
