CONTAINER ID   NAME                               CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
96150a686399   event-platform-connect-1           154.43%   1.269GiB / 15.49GiB   8.19%     7.15kB / 1.42kB   503MB / 225kB     27
aa04ce763781   event-platform-schema-registry-1   1.12%     284.4MiB / 15.49GiB   1.79%     82.4kB / 58.7kB   105MB / 242kB     35
876fcf6c9aa6   event-platform-ingestion-api-1     0.00%     319.7MiB / 1GiB       31.22%    1.8GB / 14.6MB    1.63MB / 20.5kB   13
88ce38c34307   event-platform-otel-collector-1    0.01%     45.55MiB / 15.49GiB   0.29%     666kB / 245kB     24.6MB / 0B       10
267fcf7b1a21   event-platform-grafana-1           0.80%     295.4MiB / 15.49GiB   1.86%     21.5MB / 59.1kB   150MB / 121MB     30
db5c9543985d   event-platform-postgres-1          13.69%    27.08MiB / 15.49GiB   0.17%     10.7kB / 126B     3.91MB / 53.1MB   6
55441e5855c2   event-platform-prometheus-1        0.58%     53.56MiB / 15.49GiB   0.34%     13.9kB / 4.84kB   12.5MB / 184kB    9
3c601cbca4a7   event-platform-redis-1             0.69%     6.34MiB / 15.49GiB    0.04%     687kB / 259kB     2.73MB / 0B       6
54d48e7d5af5   event-platform-kafka-1             4.63%     445.3MiB / 15.49GiB   2.81%     7.91MB / 341kB    73.9MB / 11.5MB   110
1d93b4b12d8b   event-platform-tempo-1             0.23%     88.3MiB / 15.49GiB    0.56%     246kB / 5.15kB    13MB / 3.06MB     11
