File: ingestion-api
Type: cpu
Time: Aug 8, 2026 at 12:35pm (UTC)
Duration: 30s, Total samples = 20.98s (69.93%)
Showing nodes accounting for 14.58s, 69.49% of 20.98s total
Dropped 288 nodes (cum <= 0.10s)
Showing top 20 nodes out of 131
      flat  flat%   sum%        cum   cum%
     0.01s 0.048% 0.048%     17.89s 85.27%  net/http.(*conn).serve
         0     0% 0.048%     17.72s 84.46%  event-platform/ingestion-api/internal/httpapi.WithTracing.func1
         0     0% 0.048%     17.72s 84.46%  net/http.(*ServeMux).ServeHTTP
         0     0% 0.048%     17.72s 84.46%  net/http.HandlerFunc.ServeHTTP
         0     0% 0.048%     17.72s 84.46%  net/http.serverHandler.ServeHTTP
         0     0% 0.048%     17.68s 84.27%  event-platform/ingestion-api/internal/httpapi.(*Handler).ServeHTTP
         0     0% 0.048%     17.68s 84.27%  main.main.WithRateLimit.func4
         0     0% 0.048%     15.73s 74.98%  encoding/json.(*Decoder).Decode
     4.72s 22.50% 22.55%      8.65s 41.23%  encoding/json.(*Decoder).readValue
         0     0% 22.55%      7.08s 33.75%  encoding/json.(*decodeState).unmarshal
         0     0% 22.55%      7.05s 33.60%  encoding/json.(*decodeState).object
         0     0% 22.55%      7.05s 33.60%  encoding/json.(*decodeState).value
         0     0% 22.55%      5.12s 24.40%  encoding/json.(*decodeState).literalStore
     3.94s 18.78% 41.33%      4.63s 22.07%  encoding/json.unquoteBytes
     2.16s 10.30% 51.62%      2.41s 11.49%  encoding/json.stateInString
     2.06s  9.82% 61.44%      2.06s  9.82%  runtime.memmove
     1.69s  8.06% 69.49%      1.88s  8.96%  encoding/json.(*decodeState).rescanLiteral
         0     0% 69.49%      1.87s  8.91%  github.com/twmb/franz-go/pkg/kgo.(*broker).handleReq
         0     0% 69.49%      1.87s  8.91%  github.com/twmb/franz-go/pkg/kgo.(*broker).handleReqs
         0     0% 69.49%      1.87s  8.91%  github.com/twmb/franz-go/pkg/kgo.(*brokerCxn).writeRequest
